course_dt_id,course_id,sequence,place_name,day,contentid
2304300003,e_e000004,3,창룡문,2023-04-30,264392
2304290006,e_e000005,5,책테마파크,2023-04-29,631317
2305010002,e_e000005,17,더앤리조트,2023-05-01,3469367
2305010005,e_e000005,20,더앤리조트,2023-05-01,3469367
2305010004,e_e000005,19,호남집,2023-05-01,1965675
2304300005,e_e000005,15,호텔스카이파크인천송도,2023-04-30,2918644
2304300006,e_e000005,13,호텔스카이파크인천송도,2023-04-30,2918644
2304290004,e_e000005,4,갤럭시호텔,2023-04-29,3080181
2304290005,e_e000005,6,월미도,2023-04-29,127585
2304290008,e_e000005,8,갤럭시호텔,2023-04-29,3080181
2304300003,e_e000005,11,인천맥주,2023-04-30,2828862
2305010003,e_e000005,18,을왕리해수욕장,2023-05-01,128767
2304300005,e_e000006,5,베이커리 씨어터,2023-04-30,2735135
2304290002,e_e000009,2,안성팜랜드,2023-04-29,2463653
2304290003,e_e000009,3,스타필드 안성,2023-04-29,3351398
2304290007,e_e000009,6,호텔프라하,2023-04-29,3474165
2304300003,e_e000009,9,평택시농업생태원,2023-04-30,2633945
2304290006,e_e000010,4,충무아트센터,2023-04-29,130695
2304290009,e_e000010,7,독립문,2023-04-29,127425
2304290002,e_e000011,5,"꽃,밥에피다",2023-04-29,2708791
2304290004,e_e000011,6,IFC몰,2023-04-29,1988288
2304300001,e_e000011,10,서울랜드,2023-04-30,126719
2304280003,e_e000013,3,수원프리미엄아울렛,2023-04-28,562857
2304280004,e_e000013,4,이마트 파주,2023-04-28,2925040
2304290002,e_e000013,7,지중해마을,2023-04-29,2606741
2305010004,e_e000015,20,북촌한옥마을,2023-05-01,126537
2305010005,e_e000015,21,낙원 악기상가,2023-05-01,132226
2304280002,e_e000015,4,스타필드 코엑스몰,2023-04-28,1984944
2304290002,e_e000015,7,서울어린이대공원,2023-04-29,126490
2305010002,e_e000015,18,합정옥,2023-05-01,2871395
2304290002,e_e000016,2,현대프리미엄아울렛 김포점,2023-04-29,1990459
2304290003,e_e000016,3,롯데몰 김포공항점,2023-04-29,1535690
2304290004,e_e000018,3,고양어린이박물관,2023-04-29,2551413
2304300002,e_e000020,9,가평양떼목장카페,2023-04-30,2724858
2304290002,e_e000020,2,신숙희진골막국수,2023-04-29,2902529
2304300004,e_e000020,11,카페 아우라,2023-04-30,2852946
2304290003,e_e000020,3,아침고요수목원,2023-04-29,126668
2304290002,e_e000021,3,신교령사골순대국 본점,2023-04-29,2873396
2304300002,e_e000021,11,티카페차센,2023-04-30,2856148
2304300003,e_e000021,12,남양성모성지,2023-04-30,126709
2304290002,e_e000022,2,향유갈비,2023-04-29,2855065
2304290003,e_e000022,3,허브아일랜드,2023-04-29,127695
2304290004,e_e000023,4,광화문광장,2023-04-29,775394
2304290006,e_e000023,6,경복궁,2023-04-29,126508
2304290006,e_e000023,6,경복궁,2023-04-29,2666461
2304300003,e_e000025,2,꼬꼬오리주물럭,2023-04-30,2844649
2304300005,e_e000025,4,포지티브스페이스566,2023-04-30,3331853
2304300004,e_e000037,3,카페우디,2023-04-30,3041652
2304280002,e_e000038,2,카페공가,2023-04-28,2841820
2304280009,e_e000038,4,호텔 더 샵,2023-04-28,3044649
2304280006,e_e000040,5,자하손만두,2023-04-28,834669
2304280005,e_e000040,4,서울로 7017,2023-04-28,2495561
2304280007,e_e000040,6,숭례문,2023-04-28,128162
2304300003,e_e000041,13,화성 융건릉,2023-04-30,3456908
2304280003,e_e000041,3,남영돈,2023-04-28,2836064
2304300001,e_e000041,12,해장촌,2023-04-30,2741027
2305010006,e_e000042,5,수기해변,2023-05-01,264616
2304280005,e_e000043,5,카페그리너리,2023-04-28,2870044
2304280003,e_e000043,3,국립세종수목원,2023-04-28,2675068
2304280006,e_e000043,6,국립세종도서관,2023-04-28,1896898
2304290002,e_e000043,10,메인스트리트,2023-04-29,2788926
2304300001,e_e000043,14,미스진햄버거 송탄본점,2023-04-30,2862144
2304300002,e_e000043,15,평택시농업생태원,2023-04-30,2633945
2304300004,e_e000043,17,내리문화공원,2023-04-30,2746257
2304300001,e_e000045,5,대궐산장,2023-04-30,133636
2304290004,e_e000045,3,대궐산장,2023-04-29,133636
2304290005,e_e000045,4,대궐산장,2023-04-29,133636
2304300002,e_e000045,6,마장호수,2023-04-30,750804
2304280004,e_e000191,3,바다펜션,2023-04-28,1268364
2304290001,e_e000191,5,바다펜션,2023-04-29,1268364
